[front_panel]
mode=T2 - R2
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2730
units=0

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
3,400E+00	1,071E+00	
3,406E+00	1,008E+00	
3,412E+00	1,506E+00	
3,418E+00	1,991E+00	
3,424E+00	7,378E-01	
3,430E+00	1,449E+00	
3,436E+00	1,455E+00	
3,442E+00	1,195E+00	
3,448E+00	9,674E-01	
3,455E+00	8,740E-01	
3,461E+00	9,552E-01	
3,467E+00	9,845E-01	
3,473E+00	7,825E-01	
3,479E+00	1,442E+00	
3,485E+00	1,626E+00	
3,491E+00	7,181E-01	
3,497E+00	1,389E+00	
3,503E+00	1,478E+00	
3,510E+00	1,133E+00	
3,516E+00	1,220E+00	
3,522E+00	9,960E-01	
3,528E+00	1,133E+00	
3,534E+00	5,036E-01	
3,540E+00	1,096E+00	
3,546E+00	1,378E+00	
3,552E+00	8,952E-01	
3,558E+00	6,766E-01	
3,564E+00	1,060E+00	
3,571E+00	7,524E-01	
3,577E+00	1,247E+00	
3,583E+00	1,347E+00	
3,589E+00	1,154E+00	
3,595E+00	7,970E-01	
3,601E+00	1,099E+00	
3,607E+00	9,098E-01	
3,613E+00	1,334E+00	
3,619E+00	1,069E+00	
3,625E+00	1,208E+00	
3,632E+00	9,392E-01	
3,638E+00	6,258E-01	
3,644E+00	1,276E+00	
3,650E+00	7,551E-01	
3,656E+00	1,295E+00	
3,662E+00	5,256E-01	
3,668E+00	9,256E-01	
3,674E+00	9,057E-01	
3,680E+00	1,174E+00	
3,687E+00	9,828E-01	
3,693E+00	1,022E+00	
3,699E+00	9,474E-01	
3,705E+00	7,162E-01	
3,711E+00	1,398E+00	
3,717E+00	9,441E-01	
3,723E+00	1,509E+00	
3,729E+00	3,018E-01	
3,735E+00	1,015E+00	
3,741E+00	6,591E-01	
3,748E+00	1,274E+00	
3,754E+00	9,866E-01	
3,760E+00	8,220E-01	
3,766E+00	6,424E-01	
3,772E+00	8,111E-01	
3,778E+00	6,542E-01	
3,784E+00	1,149E+00	
3,790E+00	3,985E-01	
3,796E+00	9,703E-01	
3,802E+00	7,414E-01	
3,809E+00	1,168E+00	
3,815E+00	1,092E+00	
3,821E+00	8,412E-01	
3,827E+00	8,419E-01	
3,833E+00	1,020E+00	
3,839E+00	4,342E-01	
3,845E+00	9,626E-01	
3,851E+00	8,470E-01	
3,857E+00	9,206E-01	
3,864E+00	4,433E-01	
3,870E+00	4,285E-01	
3,876E+00	9,008E-01	
3,882E+00	6,519E-01	
3,888E+00	9,451E-01	
3,894E+00	6,186E-01	
3,900E+00	1,229E+00	
3,906E+00	6,212E-01	
3,912E+00	8,315E-01	
3,918E+00	5,100E-01	
3,925E+00	7,601E-01	
3,931E+00	8,299E-01	
3,937E+00	7,439E-01	
3,943E+00	5,598E-01	
3,949E+00	7,821E-01	
3,955E+00	8,061E-01	
3,961E+00	5,186E-01	
3,967E+00	3,286E-01	
3,973E+00	6,287E-01	
3,979E+00	6,471E-01	
3,986E+00	7,817E-01	
3,992E+00	8,103E-01	
3,998E+00	8,551E-01	
4,004E+00	7,776E-01	
4,010E+00	5,018E-01	
4,016E+00	1,107E+00	
4,022E+00	3,071E-01	
4,028E+00	5,114E-01	
4,034E+00	4,498E-01	
4,041E+00	4,583E-01	
4,047E+00	7,274E-01	
4,053E+00	9,017E-01	
4,059E+00	5,852E-01	
4,065E+00	7,089E-01	
4,071E+00	3,991E-01	
4,077E+00	3,481E-01	
4,083E+00	5,606E-01	
4,089E+00	2,998E-01	
4,095E+00	5,924E-01	
4,102E+00	3,351E-01	
4,108E+00	2,910E-01	
4,114E+00	9,263E-01	
4,120E+00	4,962E-01	
4,126E+00	4,552E-01	
4,132E+00	3,664E-01	
4,138E+00	3,935E-01	
4,144E+00	7,790E-01	
4,150E+00	6,917E-01	
4,156E+00	6,061E-01	
4,163E+00	3,906E-01	
4,169E+00	1,148E-01	
4,175E+00	6,484E-01	
4,181E+00	3,337E-01	
4,187E+00	4,783E-01	
4,193E+00	1,633E-01	
4,199E+00	5,783E-01	
4,205E+00	4,325E-01	
4,211E+00	9,493E-01	
4,218E+00	2,559E-01	
4,224E+00	4,051E-01	
4,230E+00	2,116E-01	
4,236E+00	1,846E-01	
4,242E+00	6,567E-01	
4,248E+00	5,093E-01	
4,254E+00	4,570E-01	
4,260E+00	3,753E-01	
4,266E+00	1,834E-01	
4,272E+00	6,374E-01	
4,279E+00	4,187E-01	
4,285E+00	6,852E-01	
4,291E+00	9,443E-02	
4,297E+00	9,190E-01	
4,303E+00	9,590E-02	
4,309E+00	7,606E-01	
4,315E+00	6,934E-02	
4,321E+00	1,953E-01	
4,327E+00	7,343E-01	
4,333E+00	1,981E-01	
4,340E+00	2,362E-01	
4,346E+00	8,548E-01	
4,352E+00	7,208E-01	
4,358E+00	6,428E-01	
4,364E+00	8,047E-01	
4,370E+00	3,984E-01	
